Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,City,State,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,
ES-2015-PJ1883564-42255,8/9/2015,14-09-2015,Standard Class,PJ-1883564,Patrick Jones,Corporate,Prato,Tuscany,Southern Europe,OFF-AP-4743,Office Supplies,Appliances,"Hoover Stove, Red",7958,14,0,3979,
IN-2015-JS156857-42035,31-01-2015,1/2/2015,First Class,JS-156857,Jim Sink,Corporate,Townsville,Queensland,Oceania,TEC-CO-3597,Technology,Copiers,"Brother Fax Machine, High-Speed",2565,9,0.1,28,
TZ-2015-RH9555129-42343,5/12/2015,7/12/2015,Second Class,RH-9555129,Ritsa Hightower,Consumer,Uvinza,Kigoma,Eastern Africa,OFF-AP-4967,Office Supplies,Appliances,"KitchenAid Stove, White",3409,6,0,818,
PL-2013-AB600103-41494,8/8/2013,10/8/2013,First Class,AB-600103,Ann Blume,Corporate,Bytom,Silesia,Eastern Europe,FUR-TA-4644,Furniture,Tables,"Hon Computer Table, with Bottom Storage",1977,4,0,276,
CA-2012-AB10015140-40974,6/3/2012,7/3/2012,First Class,AB-100151404,Aaron Bergman,Consumer,Seattle,Washington,Western US,OFF-ST-3744,Office Supplies,Storage,"Carina 42""Hx23 3/4""W Media Storage Unit",242,3,0,4,
IN-2012-JK1532527-41030,1/5/2012,2/5/2012,First Class,JK-1532527,Jason Klamczynski,Corporate,Suzhou,Anhui,Eastern Asia,FUR-CH-5774,Furniture,Chairs,"SAFCO Executive Leather Armchair, Black",2753,6,0,358,
ES-2014-LB16795139-41697,27-02-2014,1/3/2014,Second Class,LB-16795139,Laurel Beltran,Home Office,Edinburgh,Scotland,Northern Europe,OFF-AP-4960,Office Supplies,Appliances,"KitchenAid Refrigerator, Black",5273,10,0,1898,
US-2015-NP1832582-42216,31-07-2015,1/8/2015,First Class,NP-1832582,Naresj Patel,Consumer,JuÃ¡rez,Chihuahua,Central America,TEC-PH-5268,Technology,Phones,"Motorola Smart Phone, Full Size",1713,4,0,445,
MX-2015-VD2167039-42252,5/9/2015,8/9/2015,First Class,VD-2167039,Valerie Dominguez,Consumer,Soyapango,San Salvador,Central America,FUR-TA-4643,Furniture,Tables,"Hon Computer Table, Fully Assembled",2106,8,0.2,526,
IN-2012-PB19210127-41259,16-12-2012,19-12-2012,First Class,PB-19210127,Phillip Breyer,Corporate,Taipei,Taipei City,Eastern Asia,FUR-TA-5060,Furniture,Tables,"Lesro Conference Table, with Bottom Storage",1715,2,0,720,
ES-2012-EB1411048-40981,13-03-2012,16-03-2012,Second Class,EB-1411048,Eugene Barchas,Consumer,Leipzig,Saxony,Western Europe,OFF-AP-4743,Office Supplies,Appliances,"Hoover Stove, Red",3069,6,0.1,1364,
CA-2012-AH10030140-41020,21-04-2012,23-04-2012,Second Class,AH-100301406,Aaron Hawkins,Corporate,Troy,New York,Eastern US,OFF-FA-6129,Office Supplies,Fasteners,Staples,247,8,0,121,
IN-2013-BP1123058-41329,24-02-2013,24-02-2013,Same Day,BP-1123058,Benjamin Patterson,Consumer,Surat,Gujarat,Southern Asia,FUR-CH-5443,Furniture,Chairs,"Office Star Executive Leather Armchair, Red",1878,4,0,582,
US-2012-RR1952536-41270,27-12-2012,29-12-2012,Second Class,RR-1952536,Rick Reed,Corporate,Santo Domingo,Santo Domingo,Caribbean,TEC-PH-5841,Technology,Phones,"Samsung Smart Phone, VoIP",1696,5,0.2,-148,
ES-2013-BS1136545-41472,17-07-2013,19-07-2013,First Class,BS-1136545,Bill Shonely,Corporate,Saint-Brieuc,Brittany,Western Europe,TEC-MA-5503,Technology,Machines,"Okidata Inkjet, Wireless",2402,9,0.15,763,
CA-2013-AH10030140-41635,27-12-2013,31-12-2013,Standard Class,AH-100301404,Aaron Hawkins,Corporate,San Francisco,California,Western US,TEC-PH-4389,Technology,Phones,Geemarc AmpliPOWER60,668,9,0.2,75,
IN-2012-DP131057-41215,2/11/2012,4/11/2012,Second Class,DP-131057,Dave Poirier,Corporate,Gold Coast,Queensland,Oceania,OFF-AP-3579,Office Supplies,Appliances,"Breville Stove, Red",2526,5,0.1,561,
CA-2013-AH10030140-41635,27-12-2013,31-12-2013,Standard Class,AH-100301404,Aaron Hawkins,Corporate,San Francisco,California,Western US,OFF-ST-4291,Office Supplies,Storage,Fellowes Super Stor/Drawer Files,323,2,0,61,
CG-2012-AH1003033-41165,13-09-2012,14-09-2012,First Class,AH-1003033,Aaron Hawkins,Corporate,Kamina,Katanga,Central Africa,TEC-PH-3148,Technology,Phones,"Apple Smart Phone, Full Size",3817,6,0,1068,
CA-2012-AH10030140-41041,12/5/2012,18-05-2012,Standard Class,AH-100301404,Aaron Hawkins,Corporate,Los Angeles,California,Western US,FUR-CH-4840,Furniture,Chairs,"Iceberg Nesting Folding Chair, 19w x 6d x 43h",279,6,0.2,20,
CA-2012-AH10030140-41273,30-12-2012,31-12-2012,First Class,AH-100301406,Aaron Hawkins,Corporate,New York City,New York,Eastern US,TEC-AC-6340,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 10/Pack",34,3,0,11,
ES-2015-PO18865139-42018,14-01-2015,18-01-2015,Standard Class,PO-18865139,Patrick O'Donnell,Consumer,Stockton-on-Tees,England,Northern Europe,TEC-CO-3598,Technology,Copiers,"Brother Fax Machine, Laser",4141,13,0,1697,
IN-2012-DL128657-40918,10/1/2012,11/1/2012,First Class,DL-128657,Dan Lawera,Consumer,Brisbane,Queensland,Oceania,TEC-PH-5356,Technology,Phones,"Nokia Smart Phone, with Caller ID",2875,5,0.1,511,
ID-2014-JB1600059-41873,22-08-2014,26-08-2014,Standard Class,JB-1600059,Joy Bell-,Consumer,Mataram,Nusa Tenggara Barat,Southeastern Asia,TEC-PH-5268,Technology,Phones,"Motorola Smart Phone, Full Size",3200,6,0.17,-77,
IN-2015-BF1100558-42319,11/11/2015,15-11-2015,Standard Class,BF-1100558,Barry Franz,Home Office,Gorakhpur,Haryana,Southern Asia,TEC-PH-5269,Technology,Phones,"Motorola Smart Phone, with Caller ID",4518,7,0,632,
IN-2015-VG2180558-42273,26-09-2015,28-09-2015,Second Class,VG-2180558,Vivek Grady,Corporate,Thiruvananthapuram,Kerala,Southern Asia,FUR-BO-5951,Furniture,Bookcases,"Sauder Classic Bookcase, Traditional",5667,13,0,2097,
ES-2013-GT14710139-41621,13-12-2013,17-12-2013,Standard Class,GT-14710139,Greg Tran,Consumer,Huddersfield,England,Northern Europe,TEC-PH-5267,Technology,Phones,"Motorola Smart Phone, Cordless",5785,9,0,404,
IT-2012-ZC2191048-41174,22-09-2012,24-09-2012,First Class,ZC-2191048,Zuschuss Carroll,Consumer,Berlin,Berlin,Western Europe,OFF-AP-3874,Office Supplies,Appliances,"Cuisinart Stove, Silver",3018,7,0.2,377,
CA-2014-AH10030140-41719,21-03-2014,26-03-2014,Second Class,AH-100301408,Aaron Hawkins,Corporate,Gulfport,Mississippi,Southern US,FUR-FU-4072,Furniture,Furnishings,"Eldon Image Series Desk Accessories, Ebony",86,7,0,38,
IT-2014-EB1384045-41706,8/3/2014,8/3/2014,Same Day,EB-1384045,Ellis Ballard,Corporate,Montreuil,Ile-de-France,Western Europe,FUR-CH-5441,Furniture,Chairs,"Office Star Executive Leather Armchair, Adjustable",2092,5,0.1,720,
IN-2015-AP1091527-42244,28-08-2015,29-08-2015,First Class,AP-1091527,Arthur Prichep,Consumer,Shouguang,Shandong,Eastern Asia,FUR-CH-5380,Furniture,Chairs,"Novimex Executive Leather Armchair, Red",2761,6,0,110,
IN-2015-SW2027558-42125,1/5/2015,1/5/2015,Same Day,SW-2027558,Scott Williamson,Consumer,Jamshedpur,Jharkhand,Southern Asia,TEC-MA-5007,Technology,Machines,"Konica Inkjet, White",2174,7,0,500,
MX-2015-JH15820141-42356,18-12-2015,20-12-2015,Second Class,JH-15820141,John Huston,Consumer,PaysandÃº,PaysandÃº,South America,FUR-CH-4531,Furniture,Chairs,"Harbour Creations Executive Leather Armchair, Black",3473,11,0,868,
US-2012-AH10030140-41206,24-10-2012,27-10-2012,First Class,AH-100301404,Aaron Hawkins,Corporate,San Francisco,California,Western US,OFF-BI-4372,Office Supplies,Binders,GBC VeloBind Cover Sets,49,4,0.2,18,
IR-2015-TG1164060-42265,18-09-2015,21-09-2015,First Class,TG-1164060,Trudy Glocke,Consumer,Behshahr,Mazandaran,Southern Asia,TEC-CO-3678,Technology,Copiers,"Canon Copy Machine, Color",2108,8,0,527,
CA-2012-AH10030140-41273,30-12-2012,31-12-2012,First Class,AH-100301406,Aaron Hawkins,Corporate,New York City,New York,Eastern US,OFF-LA-3231,Office Supplies,Labels,Avery 51,18,3,0,8,
IN-2012-PB19210127-41259,16-12-2012,19-12-2012,First Class,PB-19210127,Phillip Breyer,Corporate,Taipei,Taipei City,Eastern Asia,FUR-BO-5762,Furniture,Bookcases,"Safco Classic Bookcase, Pine",2197,5,0,153,
MZ-2014-DG330087-41991,18-12-2014,18-12-2014,Same Day,DG-330087,Deirdre Greer,Corporate,Maputo,Cidade De Maputo,Eastern Africa,TEC-PH-5269,Technology,Phones,"Motorola Smart Phone, with Caller ID",2582,4,0,593,
IN-2013-SG2047058-41424,30-05-2013,31-05-2013,First Class,SG-2047058,Sheri Gordon,Consumer,Bhopal,Madhya Pradesh,Southern Asia,TEC-CO-4590,Technology,Copiers,"Hewlett Wireless Fax, Color",1526,4,0,732,
CA-2012-AH10030140-41020,21-04-2012,23-04-2012,Second Class,AH-100301406,Aaron Hawkins,Corporate,Troy,New York,Eastern US,OFF-BI-2937,Office Supplies,Binders,"ACCOHIDE 3-Ring Binder, Blue, 1""",9,3,0.2,3,
IN-2013-GP1474058-41419,25-05-2013,28-05-2013,Second Class,GP-1474058,Guy Phonely,Corporate,Delhi,Delhi,Southern Asia,FUR-TA-3766,Furniture,Tables,"Chromcraft Conference Table, with Bottom Storage",1745,2,0,226,
IN-2015-MW182207-42221,5/8/2015,6/8/2015,First Class,MW-182207,Mitch Webber,Consumer,Geraldton,Western Australia,Oceania,OFF-AP-3577,Office Supplies,Appliances,"Breville Refrigerator, White",4191,9,0.1,1164,
CA-2012-AH10030140-41041,12/5/2012,18-05-2012,Standard Class,AH-100301404,Aaron Hawkins,Corporate,Los Angeles,California,Western US,OFF-PA-4014,Office Supplies,Paper,EcoTones Memo Sheets,8,2,0,3,
IN-2015-CS1246011-42074,11/3/2015,13-03-2015,Second Class,CS-1246011,Chuck Sachs,Consumer,Dhaka,Dhaka,Southern Asia,FUR-BO-5760,Furniture,Bookcases,"Safco Classic Bookcase, Metal",3063,7,0,581,
CA-2015-AH10030140-42357,19-12-2015,23-12-2015,Standard Class,AH-100301406,Aaron Hawkins,Corporate,Philadelphia,Pennsylvania,Eastern US,OFF-AR-3276,Office Supplies,Art,Avery Fluorescent Highlighter Four-Color Set,18,7,0.2,2,
ES-2015-MS1798048-42227,11/8/2015,16-08-2015,Second Class,MS-1798048,Michael Stewart,Corporate,Munster,Lower Saxony,Western Europe,TEC-PH-5839,Technology,Phones,"Samsung Smart Phone, Cordless",4473,7,0,313,
IT-2014-KC1667548-41882,31-08-2014,3/9/2014,First Class,KC-1667548,Kimberly Carter,Corporate,Celle,Lower Saxony,Western Europe,TEC-PH-3130,Technology,Phones,"Apple Audio Dock, with Caller ID",1502,9,0,225,
IN-2015-DB1340527-42022,18-01-2015,23-01-2015,Standard Class,DB-1340527,Denny Blanton,Consumer,Wuxi,Jiangsu,Eastern Asia,FUR-CH-5774,Furniture,Chairs,"SAFCO Executive Leather Armchair, Black",5048,11,0,656,
CA-2015-AS10045140-42007,3/1/2015,5/1/2015,First Class,AS-100451408,Aaron Smayling,Corporate,Jacksonville,North Carolina,Southern US,TEC-MA-3788,Technology,Machines,Cisco CP-7937G Unified IP Conference Station Phone,695,2,0.5,-27,
IT-2015-DK13090120-42345,7/12/2015,8/12/2015,First Class,DK-13090120,Dave Kipp,Consumer,Seville,AndalusÃ­a,Southern Europe,FUR-BO-5760,Furniture,Bookcases,"Safco Classic Bookcase, Metal",2188,5,0,1050,
IN-2015-CS1184558-42354,16-12-2015,19-12-2015,First Class,CS-1184558,Cari Sayre,Corporate,Raipur,Uttarakhand,Southern Asia,FUR-TA-3779,Furniture,Tables,"Chromcraft Wood Table, Rectangular",1920,4,0,652,
MX-2015-EM1420082-42328,20-11-2015,20-11-2015,Same Day,EM-1420082,Evan Minnotte,Home Office,GÃ³mez Palacio,Durango,Central America,TEC-PH-5839,Technology,Phones,"Samsung Smart Phone, Cordless",1704,4,0,119,
UP-2012-DW3480137-41221,8/11/2012,10/11/2012,First Class,DW-3480137,Dianna Wilson,Home Office,Kharkiv,Kharkiv,Eastern Europe,FUR-TA-3771,Furniture,Tables,"Chromcraft Round Table, Rectangular",1858,4,0,130,
IN-2014-AS1022527-41797,7/6/2014,9/6/2014,First Class,AS-1022527,Alan Schoenberger,Corporate,Jinan,Shandong,Eastern Asia,FUR-CH-4530,Furniture,Chairs,"Harbour Creations Executive Leather Armchair, Adjustable",3298,7,0,1055,
MX-2012-ST2053093-41234,21-11-2012,22-11-2012,First Class,ST-2053093,Shui Tom,Consumer,Chinandega,Chinandega,Central America,OFF-AP-4497,Office Supplies,Appliances,"Hamilton Beach Microwave, Black",2443,13,0,121,
CG-2014-BW106533-41727,29-03-2014,31-03-2014,Second Class,BW-106533,Barry Weirich,Consumer,Kananga,Kasai-Occidental,Central Africa,FUR-CH-4530,Furniture,Chairs,"Harbour Creations Executive Leather Armchair, Adjustable",3808,8,0,1523,
IN-2015-LA1678059-42242,26-08-2015,27-08-2015,First Class,LA-1678059,Laura Armstrong,Corporate,Palembang,Sumatera Selatan,Southeastern Asia,FUR-TA-3422,Furniture,Tables,"Bevis Conference Table, with Bottom Storage",3427,7,0.47,-452,
ES-2013-AB10150139-41537,20-09-2013,22-09-2013,Second Class,AB-10150139,Aimee Bixby,Consumer,London,England,Northern Europe,TEC-PH-5355,Technology,Phones,"Nokia Smart Phone, Full Size",3441,6,0.1,38,
IN-2015-JH158207-42140,16-05-2015,18-05-2015,Second Class,JH-158207,John Huston,Consumer,Melbourne,Victoria,Oceania,TEC-PH-3147,Technology,Phones,"Apple Smart Phone, Cordless",2863,5,0.1,858,
CA-2015-AS10045140-42218,2/8/2015,8/8/2015,Standard Class,AS-100451402,Aaron Smayling,Corporate,Austin,Texas,Central US,TEC-MA-3329,Technology,Machines,Bady BDG101FRU Card Printer,1439,3,0.4,-263,
ES-2014-BE1141048-41967,24-11-2014,25-11-2014,First Class,BE-1141048,Bobby Elias,Consumer,Duisburg,North Rhine-Westphalia,Western Europe,TEC-CO-3599,Technology,Copiers,"Brother Ink, Color",1487,10,0,728,
IN-2012-SZ2003527-41221,8/11/2012,10/11/2012,Second Class,SZ-2003527,Sam Zeldin,Home Office,Nanchong,Sichuan,Eastern Asia,TEC-CO-6010,Technology,Copiers,"Sharp Wireless Fax, Digital",3200,9,0,1183,
IN-2012-RM1937558-41209,27-10-2012,27-10-2012,Same Day,RM-1937558,Raymond Messe,Consumer,Naihati,West Bengal,Southern Asia,FUR-CH-5380,Furniture,Chairs,"Novimex Executive Leather Armchair, Red",2300,5,0,91,
ES-2015-HG1484545-42327,19-11-2015,23-11-2015,Standard Class,HG-1484545,Harry Greene,Consumer,Lille,Nord-Pas-de-Calais-Picardie,Western Europe,FUR-CH-4654,Furniture,Chairs,"Hon Executive Leather Armchair, Adjustable",5729,14,0.1,63,
MO-2015-DP310586-42305,28-10-2015,30-10-2015,Second Class,DP-310586,Dave Poirier,Corporate,Meknes,MeknÃ¨s-Tafilalet,North Africa,TEC-CO-3710,Technology,Copiers,"Canon Wireless Fax, Laser",5301,14,0,2597,
CA-2014-AS10045140-41908,26-09-2014,28-09-2014,First Class,AS-100451404,Aaron Smayling,Corporate,San Francisco,California,Western US,FUR-BO-3176,Furniture,Bookcases,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",477,2,0.15,84,
US-2015-AS10045140-42252,5/9/2015,6/9/2015,First Class,AS-100451404,Aaron Smayling,Corporate,Redmond,Oregon,Western US,OFF-BI-3324,Office Supplies,Binders,"Avery Trapezoid Extra Heavy Duty 4"" Binders",88,7,0.7,-58,
ES-2014-JB1600048-41668,29-01-2014,5/2/2014,Standard Class,JB-1600048,Joy Bell-,Consumer,Krefeld,North Rhine-Westphalia,Western Europe,TEC-PH-5268,Technology,Phones,"Motorola Smart Phone, Full Size",3219,5,0,965,
ID-2013-AM1070559-41535,18-09-2013,21-09-2013,Second Class,AM-1070559,Anne McFarland,Consumer,Bandung,Jawa Barat,Southeastern Asia,OFF-AP-4501,Office Supplies,Appliances,"Hamilton Beach Refrigerator, Black",2487,6,0.17,-269,
MO-2014-AB25586-41966,23-11-2014,23-11-2014,Same Day,AB-25586,Alejandro Ballentine,Home Office,Casablanca,Grand Casablanca,North Africa,OFF-AP-4745,Office Supplies,Appliances,"Hoover Stove, White",2266,4,0,113,
IN-2013-RP192707-41438,13-06-2013,13-06-2013,Same Day,RP-192707,Rachel Payne,Corporate,Sydney,New South Wales,Oceania,TEC-CO-3611,Technology,Copiers,"Brother Wireless Fax, Laser",3068,9,0.1,1124,
IN-2014-BK1126011-41940,28-10-2014,31-10-2014,First Class,BK-1126011,Berenike Kampe,Consumer,Tongi,Dhaka,Southern Asia,FUR-BO-4849,Furniture,Bookcases,"Ikea Classic Bookcase, Mobile",3728,9,0,1192,
IN-2014-JM1525027-41985,12/12/2014,14-12-2014,First Class,JM-1525027,Janet Martin,Consumer,Suzhou,Anhui,Eastern Asia,TEC-CO-3678,Technology,Copiers,"Canon Copy Machine, Color",1581,6,0,0,
IN-2013-GP1474058-41419,25-05-2013,28-05-2013,Second Class,GP-1474058,Guy Phonely,Corporate,Delhi,Delhi,Southern Asia,TEC-PH-5356,Technology,Phones,"Nokia Smart Phone, with Caller ID",1916,3,0,498,
CA-2015-AS10045140-42281,4/10/2015,9/10/2015,Standard Class,AS-100451404,Aaron Smayling,Corporate,Pasadena,California,Western US,FUR-TA-5066,Furniture,Tables,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",171,3,0.2,-6,
ES-2014-NZ1856545-41975,2/12/2014,2/12/2014,Same Day,NZ-1856545,Nick Zandusky,Home Office,Paris,Ile-de-France,Western Europe,OFF-AP-4508,Office Supplies,Appliances,"Hamilton Beach Stove, White",2432,5,0.1,513,
CA-2015-AS10045140-42007,3/1/2015,5/1/2015,First Class,AS-100451408,Aaron Smayling,Corporate,Jacksonville,North Carolina,Southern US,OFF-BI-3308,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,28,6,0.7,-21,
ID-2014-SC20695102-41667,28-01-2014,30-01-2014,First Class,SC-20695102,Steve Chapman,Corporate,Manila,National Capital,Southeastern Asia,FUR-CH-5443,Furniture,Chairs,"Office Star Executive Leather Armchair, Red",2465,7,0.25,197,
IN-2013-NC186257-41401,7/5/2013,7/5/2013,Same Day,NC-186257,Noah Childs,Corporate,Newcastle,New South Wales,Oceania,FUR-TA-3422,Furniture,Tables,"Bevis Conference Table, with Bottom Storage",1847,2,0,738,
ES-2014-NF183858-41970,27-11-2014,29-11-2014,First Class,NF-183858,Natalie Fritzler,Consumer,Graz,Styria,Western Europe,FUR-BO-4849,Furniture,Bookcases,"Ikea Classic Bookcase, Mobile",2899,7,0,927,
IN-2013-NZ185657-41606,28-11-2013,2/12/2013,Second Class,NZ-185657,Nick Zandusky,Home Office,Nowra,New South Wales,Oceania,FUR-CH-5774,Furniture,Chairs,"SAFCO Executive Leather Armchair, Black",2891,7,0.1,96,
IT-2013-PM1894045-41546,29-09-2013,29-09-2013,Same Day,PM-1894045,Paul MacIntyre,Consumer,Boulogne-Billancourt,Ile-de-France,Western Europe,TEC-MA-5572,Technology,Machines,"Panasonic Printer, Red",2016,9,0.15,0,
ES-2014-MZ1733545-41885,3/9/2014,5/9/2014,Second Class,MZ-1733545,Maria Zettner,Home Office,Malakoff,Ile-de-France,Western Europe,OFF-AP-4503,Office Supplies,Appliances,"Hamilton Beach Refrigerator, Silver",3155,7,0.1,34,
CG-2014-HM498033-41846,26-07-2014,1/8/2014,Standard Class,HM-498033,Henry MacAllister,Consumer,Kinshasa,Kinshasa,Central Africa,TEC-PH-5268,Technology,Phones,"Motorola Smart Phone, Full Size",3856,6,0,1465,
IN-2015-RW195407-42327,19-11-2015,25-11-2015,Standard Class,RW-195407,Rick Wilson,Corporate,Perth,Western Australia,Oceania,TEC-PH-3806,Technology,Phones,"Cisco Smart Phone, Full Size",3524,6,0.1,861,
ES-2013-LH1715545-41444,19-06-2013,19-06-2013,Same Day,LH-1715545,Logan Haushalter,Consumer,Le Bouscat,Aquitaine-Limousin-Poitou-Charentes,Western Europe,TEC-PH-5840,Technology,Phones,"Samsung Smart Phone, Full Size",2167,4,0.15,790,
MX-2013-FH1436582-41558,11/10/2013,14-10-2013,First Class,FH-1436582,Fred Hopkins,Corporate,Puebla,Puebla,Central America,TEC-PH-5839,Technology,Phones,"Samsung Smart Phone, Cordless",2556,6,0,178,
ES-2012-KM1666048-41129,8/8/2012,10/8/2012,First Class,KM-1666048,Khloe Miller,Consumer,Augsburg,Bavaria,Western Europe,TEC-CO-5999,Technology,Copiers,"Sharp Fax Machine, High-Speed",1469,5,0,308,
ES-2012-PO1886545-41217,4/11/2012,8/11/2012,Second Class,PO-1886545,Patrick O'Donnell,Consumer,Nice,Provence-Alpes-CÃ´te d'Azur,Western Europe,TEC-PH-3807,Technology,Phones,"Cisco Smart Phone, with Caller ID",4448,8,0.15,1517,
US-2012-AS10045140-41116,26-07-2012,1/8/2012,Standard Class,AS-100451406,Aaron Smayling,Corporate,New York City,New York,Eastern US,OFF-PA-6512,Office Supplies,Paper,Xerox 1956,65,11,0,32,
MX-2014-AB1006028-41755,26-04-2014,28-04-2014,First Class,AB-1006028,Adam Bellavance,Home Office,MedellÃ­n,Antioquia,South America,FUR-BO-3891,Furniture,Bookcases,"Dania Classic Bookcase, Pine",2472,9,0,914,
IN-2014-DB130607-41999,26-12-2014,26-12-2014,Same Day,DB-130607,Dave Brooks,Consumer,Gold Coast,Queensland,Oceania,OFF-AP-3575,Office Supplies,Appliances,"Breville Refrigerator, Red",3739,8,0.1,747,
IT-2014-VM2168591-41711,13-03-2014,13-03-2014,Same Day,VM-2168591,Valerie Mitchum,Home Office,Bergen op Zoom,North Brabant,Western Europe,FUR-CH-5442,Furniture,Chairs,"Office Star Executive Leather Armchair, Black",2570,11,0.5,-2211,
CA-2014-AS10045140-41727,29-03-2014,1/4/2014,First Class,AS-100451408,Aaron Smayling,Corporate,Arlington,Virginia,Southern US,OFF-ST-4516,Office Supplies,Storage,Hanging Personal Folder File,31,2,0,7,
ES-2013-DM1352548-41369,5/4/2013,5/4/2013,Same Day,DM-1352548,Don Miller,Corporate,Hanover,Lower Saxony,Western Europe,TEC-PH-3149,Technology,Phones,"Apple Smart Phone, with Caller ID",2875,9,0.5,-1783,
ES-2013-NM18520120-41634,26-12-2013,28-12-2013,Second Class,NM-18520120,Neoma Murray,Consumer,Vigo,Galicia,Southern Europe,FUR-BO-5948,Furniture,Bookcases,"Sauder Classic Bookcase, Metal",1741,4,0,261,
IN-2014-LC168857-41747,18-04-2014,19-04-2014,First Class,LC-168857,Lena Creighton,Consumer,Sydney,New South Wales,Oceania,TEC-CO-6012,Technology,Copiers,"Sharp Wireless Fax, Laser",1601,5,0.1,587,
